,City,Latitude,Longitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
210,thompson,55.7435,-97.8558,281.15,2.57,75.0,broken clouds,53.0
211,krotoszyn,51.6987,17.4374,285.93,2.74,100.0,moderate rain,90.0
212,hay river,60.8156,-115.7999,274.15,3.6,100.0,overcast clouds,100.0
213,jagtial,18.8,78.9333,301.64,6.05,92.0,overcast clouds,71.0
214,banda aceh,5.5577,95.3222,300.91,1.73,100.0,overcast clouds,80.0
215,linhares,-19.3911,-40.0722,292.79,1.45,85.0,overcast clouds,80.0
216,fare,-16.7,-151.0167,300.73,6.73,100.0,overcast clouds,71.0
217,serov,59.6033,60.5787,289.53,1.86,99.0,overcast clouds,84.0
218,floro,61.5996,5.0328,284.15,1.89,90.0,overcast clouds,87.0
219,entebbe,0.0644,32.4469,294.42,2.22,91.0,light rain,76.0
220,touros,-5.1989,-35.4608,297.15,1.54,20.0,few clouds,94.0
221,lagos,6.5833,3.75,298.15,2.57,20.0,few clouds,88.0
222,bathsheba,13.2167,-59.5167,300.15,8.75,40.0,scattered clouds,61.0
223,bozoum,6.3193,16.3799,293.41,1.02,100.0,light rain,98.0
224,praia,14.9215,-23.5087,294.15,9.77,75.0,broken clouds,83.0
225,bubaque,11.2833,-15.8333,298.34,5.77,66.0,broken clouds,83.0
226,kieta,-6.2167,155.6333,302.76,2.29,17.0,light rain,71.0
227,hays,30.0502,-98.0336,297.04,1.79,62.0,broken clouds,78.0
228,aksarka,66.5606,67.7975,271.98,3.56,100.0,overcast clouds,60.0
229,bafia,4.75,11.2333,293.95,0.75,100.0,moderate rain,98.0
230,kutum,14.2,24.6667,295.49,3.63,6.0,clear sky,6.0
231,hobart,-42.8794,147.3294,286.15,7.2,75.0,broken clouds,62.0
232,solone,48.2081,34.8721,286.15,1.0,0.0,clear sky,76.0
233,pierre,44.3683,-100.351,296.15,3.09,40.0,scattered clouds,31.0
234,port macquarie,-31.4333,152.9167,290.93,0.89,0.0,clear sky,51.0
235,laguna,38.421,-121.4238,296.48,3.09,1.0,clear sky,43.0
236,isangel,-19.55,169.2667,302.15,2.57,20.0,few clouds,74.0
237,kaniama,-7.5667,24.1833,293.22,1.58,16.0,few clouds,75.0
238,vagur,61.4732,-6.8119,278.75,10.82,100.0,overcast clouds,95.0
239,umm lajj,25.0213,37.2685,300.52,3.85,0.0,clear sky,65.0
240,vila franca do campo,37.7167,-25.4333,291.15,2.57,75.0,broken clouds,94.0
241,diego de almagro,-26.3667,-70.05,290.39,0.65,63.0,broken clouds,53.0
242,ancud,-41.8697,-73.8203,282.59,1.03,20.0,fog,93.0
243,takahagi,36.7167,140.7167,296.48,2.24,100.0,light rain,64.0
244,cristobal obregon,16.35,-93.5333,300.15,7.2,75.0,broken clouds,65.0
245,antofagasta,-23.65,-70.4,289.15,5.66,90.0,overcast clouds,77.0
246,wajima,37.4,136.9,288.15,4.12,75.0,mist,100.0
247,mattru,7.6244,-11.8332,297.9,0.7,100.0,overcast clouds,94.0
248,miandrivazo,-19.5167,45.4667,295.75,0.64,18.0,few clouds,73.0
249,cap malheureux,-19.9842,57.6142,297.59,2.24,1.0,clear sky,67.0
250,hithadhoo,-0.6,73.0833,302.25,8.09,100.0,overcast clouds,73.0
251,marsh harbour,26.5412,-77.0636,297.8,7.81,94.0,overcast clouds,65.0
252,muisne,0.6,-80.0333,297.71,2.03,91.0,overcast clouds,88.0
253,siyabuswa,-25.1132,29.0445,287.62,2.58,0.0,clear sky,32.0
254,urubicha,-15.3833,-62.95,298.44,0.53,100.0,overcast clouds,59.0
255,swellendam,-34.0226,20.4417,285.15,3.09,100.0,light rain,82.0
256,sistranda,63.7256,8.834,283.15,8.23,0.0,clear sky,66.0
257,roma,43.2128,-75.4557,291.15,3.09,1.0,clear sky,32.0
258,betsiamites,48.9413,-68.646,282.15,5.66,1.0,clear sky,76.0
259,puerto ayora,-0.7393,-90.3518,297.04,3.13,13.0,few clouds,95.0
260,caravelas,-17.7125,-39.2481,295.03,2.75,93.0,overcast clouds,70.0
261,faanui,-16.4833,-151.75,300.88,6.98,100.0,overcast clouds,66.0
262,bonthe,7.5264,-12.505,299.17,2.6,100.0,light rain,85.0
263,yellowknife,62.456,-114.3525,276.48,3.09,75.0,broken clouds,75.0
264,pesaro,43.9036,12.8903,289.26,3.71,100.0,overcast clouds,57.0
265,abha,18.2164,42.5053,293.15,2.25,0.0,clear sky,32.0
266,grindavik,63.8424,-22.4338,277.15,4.63,0.0,clear sky,60.0
267,venice,27.0998,-82.4543,299.82,7.72,40.0,scattered clouds,47.0
268,pasni,25.2631,63.471,301.42,3.92,5.0,clear sky,71.0
269,sobolevo,54.4299,31.8996,282.95,3.21,49.0,scattered clouds,97.0
270,blackwater,-23.5833,148.8833,292.27,3.96,16.0,few clouds,31.0
271,codrington,-38.2667,141.9667,286.52,7.11,100.0,overcast clouds,76.0
272,abonnema,4.7084,6.7931,299.34,2.0,100.0,light rain,89.0
273,kupang,-10.1667,123.5833,300.15,5.14,20.0,few clouds,74.0
274,nishihara,26.1842,127.7558,302.15,6.69,75.0,broken clouds,78.0
275,jiazi,22.8779,116.067,302.45,4.21,10.0,clear sky,72.0
276,kaeo,-35.1,173.7833,294.26,2.68,14.0,few clouds,75.0
277,abu dhabi,24.4667,54.3667,301.15,1.03,0.0,clear sky,83.0
278,naze,28.3667,129.4833,300.15,7.72,75.0,broken clouds,89.0
279,wanning,18.8003,110.3967,303.53,6.08,11.0,few clouds,72.0
280,mahebourg,-20.4081,57.7,296.15,5.14,20.0,few clouds,73.0
281,gondar,12.6,37.4667,289.11,1.8,100.0,light rain,76.0
282,korla,41.7597,86.1469,290.42,3.71,100.0,moderate rain,36.0
283,tanete,-3.9443,119.7848,301.92,4.45,90.0,overcast clouds,71.0
284,bethel,41.3712,-73.414,292.15,1.54,1.0,clear sky,34.0
285,padang,-0.9492,100.3543,298.15,0.51,75.0,broken clouds,94.0
286,bloomington,44.8408,-93.2983,295.15,7.2,75.0,broken clouds,40.0
287,birao,10.2849,22.7882,300.14,1.54,90.0,overcast clouds,59.0
288,muriwai beach,-36.8167,174.45,293.71,1.34,7.0,clear sky,78.0
289,pekin,39.9075,116.3972,292.04,1.0,0.0,light rain,59.0
290,tongren,27.7172,109.1853,295.51,1.65,100.0,overcast clouds,97.0
291,mount gambier,-37.8333,140.7667,286.15,5.14,40.0,scattered clouds,94.0
292,putina,-15.4667,-69.4333,279.37,2.18,100.0,overcast clouds,78.0
293,evensk,61.95,159.2333,273.54,0.56,100.0,overcast clouds,90.0
294,yerbogachen,61.2767,108.0108,272.19,7.47,100.0,overcast clouds,61.0
295,nanortalik,60.1432,-45.2371,275.49,1.23,11.0,few clouds,83.0
296,loiza,18.4313,-65.8802,301.15,2.57,20.0,few clouds,69.0
297,havoysund,70.9963,24.6622,274.15,6.69,90.0,overcast clouds,93.0
298,kushmurun,52.4503,64.6311,291.82,1.35,10.0,clear sky,54.0
299,kyra,49.5776,111.9753,286.12,6.08,23.0,few clouds,36.0
300,southbury,41.4815,-73.2132,292.15,1.54,1.0,clear sky,39.0
301,shu,43.5983,73.7614,284.55,1.73,0.0,clear sky,58.0
302,kostyantynivka,48.5277,37.7069,287.45,2.31,0.0,clear sky,76.0
303,mporokoso,-9.3727,30.125,286.47,1.62,2.0,clear sky,89.0
