"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1","Time (s) Run #2","State Run #2","Block Event Times (s) Run #2","Period (s) Run #2","Block-to-Block Times (s) Run #2","Speed (m/s) Run #2","Time in Gate (s) Run #2"
185.551,1.00,185.55,3.66,0.02,,,174.093,1.00,174.09,1.97,0.05,,
185.561,0.00,,,,4.81,0.01,174.111,0.00,,,,2.75,0.02
188.037,1.00,188.04,,2.49,,,178.256,1.00,178.26,,4.16,,
188.047,0.00,,,,5.21,0.01,178.274,0.00,,,,2.81,0.02
188.054,1.00,188.05,2.50,0.02,,,178.287,1.00,178.29,4.19,0.03,,
188.062,0.00,,,,5.95,0.01,178.307,0.00,,,,2.50,0.02
191.703,1.00,191.70,,3.65,,,180.215,1.00,180.22,,1.93,,
191.715,0.00,,,,3.97,0.01,180.234,0.00,,,,2.65,0.02
194.211,1.00,194.21,6.16,2.51,,,180.243,1.00,180.24,1.96,0.03,,
194.226,0.00,,,,3.23,0.02,180.261,0.00,,,,2.89,0.02
197.874,1.00,197.87,,3.66,,,184.425,1.00,184.43,,4.18,,
197.882,0.00,,,,6.10,0.01,184.442,0.00,,,,2.89,0.02
197.885,1.00,197.88,3.67,0.01,,,184.450,1.00,184.45,4.21,0.02,,
197.894,0.00,,,,5.75,0.01,184.468,0.00,,,,2.66,0.02
200.357,1.00,200.36,,2.47,,,186.366,1.00,186.37,,1.92,,
200.367,0.00,,,,4.81,0.01,186.386,0.00,,,,2.48,0.02
200.380,1.00,200.38,2.49,0.02,,,186.401,1.00,186.40,1.95,0.03,,
200.389,0.00,,,,5.43,0.01,186.418,0.00,,,,2.79,0.02
204.043,1.00,204.04,,3.66,,,190.590,1.00,190.59,,4.19,,
204.052,0.00,,,,5.32,0.01,190.610,0.00,,,,2.54,0.02
204.060,1.00,204.06,3.68,0.02,,,190.632,1.00,190.63,4.23,0.04,,
204.071,0.00,,,,4.67,0.01,190.655,0.00,,,,2.22,0.02
206.519,1.00,206.52,,2.46,,,192.508,1.00,192.51,,1.88,,
206.530,0.00,,,,4.59,0.01,192.530,0.00,,,,2.20,0.02
206.541,1.00,206.54,2.48,0.02,,,192.558,1.00,192.56,1.93,0.05,,
206.550,0.00,,,,5.38,0.01,192.577,0.00,,,,2.62,0.02
210.213,1.00,210.21,,3.67,,,196.758,1.00,196.76,,4.20,,
210.222,0.00,,,,5.43,0.01,196.777,0.00,,,,2.51,0.02
210.230,1.00,210.23,3.69,0.02,,,196.800,1.00,196.80,4.24,0.04,,
210.240,0.00,,,,4.90,0.01,196.823,0.00,,,,2.19,0.02
212.695,1.00,212.70,,2.47,,,198.668,1.00,198.67,,1.87,,
212.707,0.00,,,,4.31,0.01,198.690,0.00,,,,2.21,0.02
216.382,1.00,216.38,6.15,3.69,,,198.712,1.00,198.71,1.91,0.04,,
216.396,0.00,,,,3.70,0.01,198.731,0.00,,,,2.65,0.02
218.857,1.00,218.86,,2.47,,,202.931,1.00,202.93,,4.22,,
218.869,0.00,,,,3.97,0.01,202.950,0.00,,,,2.76,0.02
222.551,1.00,222.55,6.17,3.69,,,202.958,1.00,202.96,4.25,0.03,,
222.561,0.00,,,,4.95,0.01,202.977,0.00,,,,2.53,0.02
222.573,1.00,222.57,,0.02,,,204.836,1.00,204.84,,1.88,,
222.584,0.00,,,,4.55,0.01,204.856,0.00,,,,2.54,0.02
225.002,1.00,225.00,2.45,2.43,,,204.863,1.00,204.86,1.91,0.03,,
225.014,0.00,,,,4.35,0.01,204.881,0.00,,,,2.73,0.02
225.026,1.00,225.03,,0.02,,,209.099,1.00,209.10,,4.24,,
225.036,0.00,,,,5.15,0.01,209.119,0.00,,,,2.59,0.02
228.722,1.00,228.72,3.72,3.70,,,209.134,1.00,209.13,4.27,0.03,,
228.732,0.00,,,,4.95,0.01,209.156,0.00,,,,2.25,0.02
228.743,1.00,228.74,,0.02,,,210.974,1.00,210.97,,1.84,,
228.754,0.00,,,,4.27,0.01,210.997,0.00,,,,2.13,0.02
231.163,1.00,231.16,2.44,2.42,,,211.021,1.00,211.02,1.89,0.05,,
231.174,0.00,,,,4.46,0.01,211.040,0.00,,,,2.54,0.02
231.188,1.00,231.19,,0.02,,,215.264,1.00,215.26,,4.24,,
231.197,0.00,,,,5.10,0.01,215.285,0.00,,,,2.37,0.02
234.896,1.00,234.90,3.73,3.71,,,215.311,1.00,215.31,4.29,0.05,,
234.910,0.00,,,,3.52,0.01,215.335,0.00,,,,2.09,0.02
237.343,1.00,237.34,,2.45,,,217.123,1.00,217.12,,1.81,,
237.356,0.00,,,,3.94,0.01,217.147,0.00,,,,2.05,0.02
241.065,1.00,241.06,6.17,3.72,,,217.177,1.00,217.18,1.87,0.05,,
241.079,0.00,,,,3.52,0.01,217.197,0.00,,,,2.46,0.02
243.490,1.00,243.49,,2.43,,,221.438,1.00,221.44,,4.26,,
243.501,0.00,,,,4.55,0.01,221.458,0.00,,,,2.44,0.02
243.510,1.00,243.51,2.45,0.02,,,221.477,1.00,221.48,4.30,0.04,,
243.520,0.00,,,,5.10,0.01,221.501,0.00,,,,2.12,0.02
247.230,1.00,247.23,,3.72,,,223.288,1.00,223.29,,1.81,,
247.241,0.00,,,,4.72,0.01,223.310,0.00,,,,2.22,0.02
247.253,1.00,247.25,3.74,0.02,,,223.326,1.00,223.33,1.85,0.04,,
247.265,0.00,,,,4.13,0.01,223.346,0.00,,,,2.54,0.02
249.648,1.00,249.65,,2.40,,,227.611,1.00,227.61,,4.28,,
249.660,0.00,,,,4.10,0.01,227.630,0.00,,,,2.58,0.02
249.673,1.00,249.67,2.42,0.02,,,227.638,1.00,227.64,4.31,0.03,,
249.683,0.00,,,,4.90,0.01,227.660,0.00,,,,2.35,0.02
253.399,1.00,253.40,,3.73,,,229.442,1.00,229.44,,1.80,,
253.410,0.00,,,,4.63,0.01,229.464,0.00,,,,2.25,0.02
253.422,1.00,253.42,3.75,0.02,,,229.477,1.00,229.48,1.84,0.04,,
253.434,0.00,,,,4.27,0.01,229.497,0.00,,,,2.50,0.02
255.816,1.00,255.82,,2.39,,,233.775,1.00,233.78,,4.30,,
255.827,0.00,,,,4.81,0.01,233.797,0.00,,,,2.30,0.02
255.832,1.00,255.83,2.41,0.02,,,233.820,1.00,233.82,4.34,0.05,,
255.841,0.00,,,,5.26,0.01,233.846,0.00,,,,1.98,0.03
259.573,1.00,259.57,,3.74,,,235.579,1.00,235.58,,1.76,,
259.583,0.00,,,,4.85,0.01,235.605,0.00,,,,1.93,0.03
261.989,1.00,261.99,6.16,2.42,,,235.635,1.00,235.64,1.81,0.06,,
261.999,0.00,,,,4.90,0.01,235.657,0.00,,,,2.34,0.02
265.740,1.00,265.74,,3.75,,,239.943,1.00,239.94,,4.31,,
265.750,0.00,,,,4.85,0.01,239.965,0.00,,,,2.22,0.02
265.759,1.00,265.76,3.77,0.02,,,239.992,1.00,239.99,4.36,0.05,,
265.771,0.00,,,,4.27,0.01,240.018,0.00,,,,1.93,0.03
268.129,1.00,268.13,,2.37,,,241.735,1.00,241.74,,1.74,,
268.141,0.00,,,,4.13,0.01,241.761,0.00,,,,1.92,0.03
268.156,1.00,268.16,2.40,0.03,,,241.789,1.00,241.79,1.80,0.05,,
268.167,0.00,,,,4.67,0.01,241.810,0.00,,,,2.33,0.02
271.909,1.00,271.91,,3.75,,,246.117,1.00,246.12,,4.33,,
271.920,0.00,,,,4.46,0.01,246.137,0.00,,,,2.38,0.02
271.932,1.00,271.93,3.78,0.02,,,246.151,1.00,246.15,4.36,0.03,,
271.945,0.00,,,,3.91,0.01,246.174,0.00,,,,2.14,0.02
274.289,1.00,274.29,,2.36,,,247.902,1.00,247.90,,1.75,,
274.301,0.00,,,,4.07,0.01,247.925,0.00,,,,2.18,0.02
274.317,1.00,274.32,2.38,0.03,,,247.936,1.00,247.94,1.79,0.03,,
274.327,0.00,,,,4.63,0.01,247.957,0.00,,,,2.39,0.02
278.080,1.00,278.08,,3.76,,,252.284,1.00,252.28,,4.35,,
278.091,0.00,,,,4.95,0.01,252.306,0.00,,,,2.33,0.02
278.096,1.00,278.10,3.78,0.02,,,252.321,1.00,252.32,4.38,0.04,,
278.107,0.00,,,,4.55,0.01,252.345,0.00,,,,2.04,0.02
280.468,1.00,280.47,,2.37,,,254.044,1.00,254.04,,1.72,,
280.482,0.00,,,,3.52,0.01,254.070,0.00,,,,1.92,0.03
284.253,1.00,284.25,6.16,3.78,,,254.093,1.00,254.09,1.77,0.05,,
284.266,0.00,,,,3.91,0.01,254.115,0.00,,,,2.27,0.02
286.621,1.00,286.62,,2.37,,,258.451,1.00,258.45,,4.36,,
286.632,0.00,,,,4.59,0.01,258.475,0.00,,,,2.11,0.02
286.636,1.00,286.64,2.38,0.01,,,258.503,1.00,258.50,4.41,0.05,,
286.646,0.00,,,,4.90,0.01,258.531,0.00,,,,1.82,0.03
290.416,1.00,290.42,,3.78,,,260.188,1.00,260.19,,1.68,,
290.428,0.00,,,,4.27,0.01,260.216,0.00,,,,1.80,0.03
