"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 09:50:05 am,398.390,0.00,0.13,0.39
09/26/2022 09:50:08 am,401.839,1.00,,
09/26/2022 09:50:08 am,401.952,0.00,0.11,0.44
09/26/2022 09:50:12 am,405.549,1.00,,
09/26/2022 09:50:12 am,405.640,0.00,0.09,0.55
09/26/2022 09:50:16 am,409.121,1.00,,
09/26/2022 09:50:16 am,409.215,0.00,0.09,0.53
09/26/2022 09:50:19 am,412.763,1.00,,
09/26/2022 09:50:19 am,412.866,0.00,0.10,0.49
09/26/2022 09:50:23 am,416.376,1.00,,
09/26/2022 09:50:23 am,416.469,0.00,0.09,0.54
09/26/2022 09:50:27 am,420.050,1.00,,
09/26/2022 09:50:27 am,420.145,0.00,0.10,0.53
09/26/2022 09:50:30 am,423.585,1.00,,
09/26/2022 09:50:30 am,423.702,0.00,0.12,0.43
09/26/2022 09:50:34 am,427.241,1.00,,
09/26/2022 09:50:34 am,427.374,0.00,0.13,0.38
09/26/2022 09:50:37 am,430.863,1.00,,
09/26/2022 09:50:37 am,430.988,0.00,0.12,0.40
09/26/2022 09:50:41 am,434.459,1.00,,
09/26/2022 09:50:41 am,434.582,0.00,0.12,0.41
09/26/2022 09:50:45 am,438.089,1.00,,
09/26/2022 09:50:45 am,438.219,0.00,0.13,0.38
09/26/2022 09:50:48 am,441.735,1.00,,
09/26/2022 09:50:48 am,441.873,0.00,0.14,0.36
09/26/2022 09:50:52 am,445.311,1.00,,
09/26/2022 09:50:52 am,445.422,0.00,0.11,0.45
09/26/2022 09:50:56 am,449.003,1.00,,
09/26/2022 09:50:56 am,449.100,0.00,0.10,0.51
09/26/2022 09:50:59 am,452.586,1.00,,
09/26/2022 09:50:59 am,452.689,0.00,0.10,0.48
09/26/2022 09:51:03 am,456.233,1.00,,
09/26/2022 09:51:03 am,456.339,0.00,0.11,0.47
09/26/2022 09:51:06 am,459.820,1.00,,
09/26/2022 09:51:06 am,459.918,0.00,0.10,0.51
09/26/2022 09:51:10 am,463.489,1.00,,
09/26/2022 09:51:10 am,463.601,0.00,0.11,0.44
09/26/2022 09:51:14 am,467.025,1.00,,
09/26/2022 09:51:14 am,467.163,0.00,0.14,0.36
09/26/2022 09:51:17 am,470.673,1.00,,
09/26/2022 09:51:17 am,470.812,0.00,0.14,0.36
09/26/2022 09:51:21 am,474.307,1.00,,
09/26/2022 09:51:21 am,474.437,0.00,0.13,0.38
09/26/2022 09:51:24 am,477.904,1.00,,
09/26/2022 09:51:25 am,478.039,0.00,0.14,0.37
09/26/2022 09:51:28 am,481.517,1.00,,
09/26/2022 09:51:28 am,481.657,0.00,0.14,0.36
09/26/2022 09:51:32 am,485.188,1.00,,
09/26/2022 09:51:32 am,485.320,0.00,0.13,0.38
09/26/2022 09:51:35 am,488.763,1.00,,
09/26/2022 09:51:35 am,488.869,0.00,0.11,0.47
09/26/2022 09:51:39 am,492.448,1.00,,
09/26/2022 09:51:39 am,492.549,0.00,0.10,0.49
09/26/2022 09:51:43 am,496.024,1.00,,
09/26/2022 09:51:43 am,496.131,0.00,0.11,0.47
09/26/2022 09:51:46 am,499.681,1.00,,
09/26/2022 09:51:46 am,499.785,0.00,0.10,0.48
09/26/2022 09:51:50 am,503.261,1.00,,
09/26/2022 09:51:50 am,503.364,0.00,0.10,0.48
09/26/2022 09:51:53 am,506.940,1.00,,
09/26/2022 09:51:54 am,507.071,0.00,0.13,0.38
09/26/2022 09:51:57 am,510.505,1.00,,
09/26/2022 09:51:57 am,510.651,0.00,0.15,0.34
09/26/2022 09:52:01 am,514.142,1.00,,
09/26/2022 09:52:01 am,514.284,0.00,0.14,0.35
09/26/2022 09:52:04 am,517.771,1.00,,
09/26/2022 09:52:04 am,517.909,0.00,0.14,0.36
09/26/2022 09:52:08 am,521.389,1.00,,
09/26/2022 09:52:08 am,521.537,0.00,0.15,0.34
09/26/2022 09:52:11 am,524.987,1.00,,
09/26/2022 09:52:12 am,525.134,0.00,0.15,0.34
09/26/2022 09:52:15 am,528.677,1.00,,
09/26/2022 09:52:15 am,528.807,0.00,0.13,0.39
09/26/2022 09:52:19 am,532.253,1.00,,
09/26/2022 09:52:19 am,532.360,0.00,0.11,0.47
09/26/2022 09:52:22 am,535.918,1.00,,
09/26/2022 09:52:23 am,536.027,0.00,0.11,0.46
09/26/2022 09:52:26 am,539.495,1.00,,
09/26/2022 09:52:26 am,539.603,0.00,0.11,0.46
09/26/2022 09:52:30 am,543.190,1.00,,
